Day,Gas Price,Oil Price
09/24/2015,2.62,47.06
09/23/2015,2.62,48
09/22/2015,2.61,46.69
09/21/2015,2.61,47.64
09/18/2015,2.69,47.28
09/17/2015,2.69,48.27
09/16/2015,2.69,49.35
09/15/2015,2.74,45.91
09/14/2015,2.7,45.87
9/11/2015,2.67,46.87
9/10/2015,2.71,47.77
9/9/2015,2.74,48.04
9/8/2015,2.74,48.88
9/7/2015,2.67,46.42
9/4/2015,2.67,48.59
9/3/2015,2.67,50.41
9/2/2015,2.7,47.67
9/1/2015,2.7,48.8
08/28/2015,2.69,47.97
08/27/2015,2.69,44.46
08/26/2015,2.73,41.76
08/25/2015,2.71,41.86
08/24/2015,2.65,41.59
08/21/2015,2.7,43.84
08/20/2015,2.77,45.63
08/19/2015,2.77,45.75
08/18/2015,2.71,47
08/17/2015,2.79,47.77
08/14/2015,2.83,47.79
08/13/2015,2.93,48.01
8/12/2015,2.93,48.29
8/11/2015,2.84,47.33
8/10/2015,2.85,48.3
8/7/2015,2.76,47.54
8/6/2015,2.76,47.8
8/5/2015,2.85,49.04
8/4/2015,2.83,49.08
8/3/2015,2.76,49.49
07/31/2015,2.76,53.29
07/30/2015,2.87,54.29
07/29/2015,2.91,54.73
07/28/2015,2.89,54.3
07/27/2015,2.92,54.07
07/24/2015,2.92,54.29
07/23/2015,2.92,55.76
07/22/2015,2.84,56.36
07/21/2015,2.84,55.94
07/20/2015,2.88,56.42
07/17/2015,2.88,56.38
07/16/2015,2.9,57.31
07/15/2015,2.93,57.34
07/14/2015,2.88,57.2
07/13/2015,2.88,57.63
7/10/2015,2.7,57.72
7/9/2015,2.7,57.83
7/8/2015,2.77,55.7
7/7/2015,2.77,54.72
7/6/2015,2.79,57.19
7/3/2015,2.79,59.06
7/2/2015,2.79,61.73
7/1/2015,2.78,61.65
06/30/2015,2.8,60.31
06/29/2015,2.77,59.03
06/26/2015,2.77,60.14
06/25/2015,2.8,60.24
06/24/2015,2.83,61.63
06/23/2015,2.83,61.67
06/22/2015,2.79,60.54
06/19/2015,2.81,59.41
06/18/2015,2.93,61.37
06/17/2015,2.93,60.75
06/16/2015,2.94,60.75
06/15/2015,2.89,60.99
6/12/2015,2.88,63.19
6/11/2015,2.88,63.76
6/10/2015,2.81,64.68
6/9/2015,2.72,63.23
6/8/2015,2.6,61.33
6/5/2015,2.6,60.36
6/4/2015,2.6,60.34
6/3/2015,2.65,62.78
6/2/2015,2.63,63.14
6/1/2015,2.78,62.87
05/29/2015,2.78,63.16
05/28/2015,2.78,60.12
05/27/2015,2.82,61.35
05/26/2015,2.82,61.65
05/22/2015,2.96,64.7
05/21/2015,2.96,64.7
05/20/2015,3.04,63.52
05/19/2015,3.01,63.48
05/18/2015,3.01,65.15
05/15/2015,2.96,64.69
05/14/2015,2.87,65.58
05/13/2015,2.85,66.33
5/12/2015,2.85,65.09
5/11/2015,2.85,62.82
5/8/2015,2.78,63.82
5/7/2015,2.74,64.93
5/6/2015,2.76,66.22
5/5/2015,2.76,65.44
5/4/2015,2.72,64.62
5/1/2015,2.68,64.13
04/30/2015,2.56,63.9
